transcriptions,0.1.10_Akbar,0.1.10_Naznien,0.1.5_Naznien,elevenlabs_v3_pratama,0.1.10_Laura,open_ai_v2_ballad_friendly,google_api_10,baseline_0.1.10_Naznien,baseline_0.1.10_Akbar,baseline_elevenlabs_v3_pratama,baseline_0.1.5_Naznien,baseline_0.1.10_Laura,baseline_open_ai_v2_ballad_friendly,baseline_google_api_10
"Iya, padahal kalau santai pasti lebih nyaman. Tapi ya gitu, siapa cepat dia dapat spot deket pegangan.","v0.1.10_Akbar_Iya,_padahal_kalau_santai_past.wav","v0.1.10_Naznien_Iya,_padahal_kalau_santai_past.wav","v0.1.5_Naznien_Iya,_padahal_kalau_santai_past.wav",ElevenLabs_2025-06-16T06_13_23_Pratama_pvc_sp100_s50_sb75_v3_iya_padahal_kalau.mp3,"v0.1.10_Laura_Iya,_padahal_kalau_santai_past.wav",openai-fm-ballad-friendly.mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Iya_padahal_kalau_santai_past.mp3,88,85,85,87,97,88,64
"Setuju. Oiya, setelah turun stasiun, kita mampir ngopi yuk. Gue butuh kafein ekstra buat pulih. mmm","v0.1.10_Akbar_Setuju._Oiya,_setelah_turun_st.wav","v0.1.10_Naznien_Setuju._Oiya,_setelah_turun_st.wav","v0.1.5_Naznien_Setuju._Oiya,_setelah_turun_st.wav",ElevenLabs_2025-06-16T06_30_47_Pratama_pvc_sp100_s50_sb75_v3_setuju_oiya.mp3,"v0.1.10_Laura_Setuju._Oiya,_setelah_turun_st.wav",openai-fm-ballad-friendly (1).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Setuju_Oiya_setelah_turun_st.mp3,80,75,70,81,97,88,38
"Dengan menggunakan QRIS, pembayaran menjadi lebih mudah dan praktis, baik untuk transaksi kecil maupun besar.","v0.1.10_Akbar_Dengan_menggunakan_QRIS,_pemba.wav","v0.1.10_Naznien_Dengan_menggunakan_QRIS,_pemba.wav","v0.1.5_Naznien_Dengan_menggunakan_QRIS,_pemba.wav",ElevenLabs_2025-06-16T06_32_00_Pratama_pvc_sp100_s50_sb75_v3_dengan_menggunakan_qris.mp3,"v0.1.10_Laura_Dengan_menggunakan_QRIS,_pemba.wav",openai-fm-ballad-friendly (3).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Dengan_menggunakan_QRIS_pemba.mp3,85,85,95,85,87,90,73
"mmm mengenai masalah ini, pastikan kakak sudah memperbarui aplikasinya ke versi terbaru.","v0.1.10_Akbar__mmm__mengenai_masalah_ini,_pa.wav","v0.1.10_Naznien__mmm__mengenai_masalah_ini,_pa.wav","v0.1.5_Naznien__mmm__mengenai_masalah_ini,_pa.wav",ElevenLabs_2025-06-16T06_39_18_Pratama_pvc_sp100_s50_sb75_v3_mmm_mengenai_masalah_ini.mp3,"v0.1.10_Laura_mmm_mengenai_masalah_ini,_past.wav",openai-fm-ballad-friendly (2).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Um_mengenai_masalah_ini_pasti.mp3,78,88,90,75,92,87,83
"Baik, kalau boleh tahu, apa ada alasan khusus kenapa kakak belum tertarik untuk melanjutkan ke proses pencairan?","v0.1.10_Akbar_Baik,_kalau_boleh_tahu,_apa_ad.wav","v0.1.10_Naznien_Baik,_kalau_boleh_tahu,_apa_ad.wav","v0.1.5_Naznien_Baik,_kalau_boleh_tahu,_apa_ad.wav",ElevenLabs_2025-06-16T06_40_25_Pratama_pvc_sp100_s50_sb75_v3_baik_kalau_boleh_tau.mp3,"v0.1.10_Laura_Baik,_kalau_boleh_tahu,_apa_ad.wav",openai-fm-ballad-friendly (4).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Baik_kalau_boleh_tahu_apa_ad.mp3,85,88,90,85,100,88,76
"Oh baik, mungkin bisa dicoba dulu kak untuk mencairkan dananya, mulai dari dua ratus ribu saja. Setelah ada riwayat transaksi, kedepannya akun Gopay Pinjam kakak bisa kami upgrade untuk dapat harga lebih murah, limit lebih tinggi dan tenor lebih panjang.","v0.1.10_Akbar_Oh_baik,_mungkin_bisa_dicoba_d.wav","v0.1.10_Naznien_Oh_baik,_mungkin_bisa_dicoba_d.wav","v0.1.5_Naznien_Oh_baik,_mungkin_bisa_dicoba_d.wav",ElevenLabs_2025-06-16T06_45_43_Pratama_pvc_sp100_s50_sb75_v3_oh_baik_mungkin.mp3,"v0.1.10_Laura_Oh_baik,_mungkin_bisa_dicoba_d.wav",openai-fm-ballad-friendly (5).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Oh_baik_mungkin_bisa_dicoba_d.mp3,85,86,95,85,87,87,84
"Tetapi kakak tidak perlu khawatir, jika kakak sering mengajukan pinjaman dan pembayaran tepat waktu, limit bisa dinaikkan hingga dua puluh lima juta rupiah, dan pilihan tenor juga bisa ditambah hingga dua belas bulan kak",v0.1.10_Akbar_Tetapi_kakak_tidak_perlu_khawa.wav,v0.1.10_Naznien_Tetapi_kakak_tidak_perlu_khawa.wav,v0.1.5_Naznien_Tetapi_kakak_tidak_perlu_khawa.wav,ElevenLabs_2025-06-16T06_46_54_Pratama_pvc_sp100_s50_sb75_v3_tetapi_kakak_tidak.mp3,v0.1.10_Laura_Tetapi_kakak_tidak_perlu_khawa.wav,openai-fm-ballad-friendly (6).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Tetapi_kakak_tidak_perlu_khawa.mp3,85,86,85,82,94,87,82
"Halo kak, saya Citra dari Gopay. boleh izin minta waktunya sebentar, kak?","v0.1.10_Akbar_Halo_kak,_saya_Citra_dari_Gopa.wav","v0.1.10_Naznien_Halo_kak,_saya_Citra_dari_Gopa.wav","v0.1.5_Naznien_Halo_kak,_saya_Citra_dari_Gopa.wav",ElevenLabs_2025-08-21T08_03_27_Pratama_pvc_sp100_s50_sb75_v3.mp3,"v0.1.10_Laura_Halo_kak,_saya_Citra_dari_Gopa.wav",openai-fm-ballad-friendly (7).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Halo_kak_saya_Citra_dari_Gopa.mp3,85,90,95,85,100,84,86
"Jadi, karena kakak telah melunasi pinjamannya di Gopay Pinjam dengan riwayat pembayaran yang baik, kami punya penawaran khusus berupa bunga cicilan lebih murah, mulai hanya dari nol koma nol delapan persen per hari. Ditambah diskon biaya layanan juga nih kak hingga lima ratus ribu rupiah. Bagaimana Kak, apakah tertarik untuk mencairkan dananya?","v0.1.10_Akbar_Jadi,_karena_kakak_telah_melun.wav","v0.1.10_Naznien_Jadi,_karena_kakak_telah_melun.wav","v0.1.5_Naznien_Jadi,_karena_kakak_telah_melun.wav",ElevenLabs_2025-08-21T08_04_12_Pratama_pvc_sp100_s50_sb75_v3_jadi_karena_kakak.mp3,"v0.1.10_Laura_Jadi,_karena_kakak_telah_melun.wav",openai-fm-ballad-friendly (8).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr_Jadi_karena_kakak_telah_melun.mp3,87,87,93,87,97,89,78
"mmm sayang sekali loh jika promo ini dilewatkan, karena promo ini hanya berlaku hingga tiga puluh Mei. Bagaimana, apakah berminat untuk melakukan pencairan dana di hari ini?",v0.1.10_Akbar__mmm__sayang_sekali_loh_jika_p.wav,v0.1.10_Naznien__mmm__sayang_sekali_loh_jika_p.wav,v0.1.5_Naznien__mmm__sayang_sekali_loh_jika_p.wav,ElevenLabs_2025-08-21T08_05_22_Pratama_pvc_sp100_s50_sb75_v3_mmm_sayang_sekali.mp3,v0.1.10_Laura_mmm_sayang_sekali_loh_jika_pro.wav,openai-fm-ballad-friendly (9).mp3,google_chrip_id-ID-Chirp3-HD-Zephyr__mmm__sayang_sekali_loh_jika_p.mp3,80,86,87,79,99,82,32
